mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.5205138524373373,0.03361421767541243,0.0750437577565511,0.010135858531655374,8,1,200,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.260768480891099,-0.26428880582000963,-0.23732850223112653,-0.2541285963140784,0.011966078243610222,18
0.1851645310719808,0.04116850802991761,0.036856889724731445,0.0032440960183065287,8,3,50,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.25416635849335867,-0.2707513689758101,-0.23665698452854095,-0.2538582373325699,0.013920679262565731,16
0.24443650245666504,0.0036630567541749482,0.04516132672627767,0.0015705502741234696,8,3,100,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.2521079627715119,-0.26931776349874753,-0.2358482264231522,-0.25242465089780386,0.013665716142733814,5
0.5037184556325277,0.020529472842632148,0.07547823588053386,0.0053022613077623685,8,3,200,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.2552284503389762,-0.2700871194517915,-0.23632543070366788,-0.25388033349814515,0.013816076892366929,17
0.1783879597981771,0.03014711596477728,0.04972012837727865,0.020017403390732613,8,5,50,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.2616733249672411,-0.28180149670302707,-0.2420689160257031,-0.26184791256532375,0.016221227911640303,25
0.23053789138793945,0.010751931489875488,0.042513529459635414,0.002123517583228489,8,5,100,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.2603533302809844,-0.2802066408076448,-0.24188474943806132,-0.26081490684223013,0.01564825079099807,21
0.5126640796661377,0.02939385594104319,0.08365472157796223,0.011345299684099728,8,5,200,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.26260475705717046,-0.2792861749296016,-0.24182568243276867,-0.26123887147318026,0.015323649632680712,24
0.1385641892751058,0.02136296122819077,0.05374844868977865,0.010358434598013519,16,1,50,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.2600471794871788,-0.26481358974359004,-0.23523782295482282,-0.2533661973951972,0.012965547592778862,10
0.2690645058949788,0.02599170406170342,0.05956570307413737,0.013994087523562238,16,1,100,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.2570569230769237,-0.26135930769230703,-0.23406978057128075,-0.25082867044683715,0.011979786329214225,1
0.548119862874349,0.017693297484459483,0.09796055157979329,0.024963096257230234,16,1,200,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.25970179487179657,-0.26299953479853244,-0.23734111343286282,-0.25334748103439725,0.011398000555731574,9
0.15114529927571616,0.027213437506160437,0.061066230138142906,0.02224032134554615,16,3,50,"{'max_depth': 16, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.25413716897063043,-0.2707379998178458,-0.23535320358843426,-0.2534094574589702,0.0144549443463104,12
0.2531704107920329,0.016448237267972815,0.047002315521240234,0.005289796150527992,16,3,100,"{'max_depth': 16, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.2518917119120199,-0.26973874536859144,-0.23524552745545066,-0.2522919949120207,0.014084641525693184,3
